"Language","original","english","german","french","spanish","portuguese","italian","polish","russian","czech","hungarian","japanese","chinesesimp","chinese",
"bet_on_number","Bet on a number between 2 and 12","Bet on a number between 2 and 12","Wette auf eine Zahl zwischen 2 und 12","Pariez sur un nombre entre 2 et 12","Apuesta por un número entre 2 y 12","Aposte em um número entre 2 e 12","Scommetti su un numero tra 2 e 12","Postaw na liczbę między 2 a 12","Ставка на число от 2 до 12","Sázka na číslo mezi 2 a 12","Tét egy számra 2 és 12 között","2から12の間の数に賭ける","在2和12之间的数字上下注","在2和12之間的數字上下注",
"Chips","Chip Balance","Chip Balance","Chips","Jetons","Fichas","Fichas","Fiches","Żetony","Фишки","Žetony","Zsetonok","チップ","筹码","籌碼",
"chips_use","Bet","Bet","Einsatz","Mise","Apuesta","Aposta","Scommessa","Zakład","Использовать","Použít","Használ","賭け","使用","使用",
"bet_per_roll", "Bet per roll","Bet per roll","Einsatz pro Wurf","Mise par lancer","Apuesta por lanzamiento","Aposta por lançamento","Scommessa per lancio","Stawka za rzut","Ставка за бросок","Sázka na hod","Tét per roll","ロールごとのベット","每次投注","每次投注",
"close_game","Exit","Exit","Beenden","Sortie","Salida","Saída","Uscita","Wyjście","Выход","Ukončit","Kilépés","終了","退出","退出",
"desc_bet_dice","The win factor on this server is:", "The win factor on this server is:", "Der Gewinnfaktor auf diesem Server beträgt:", "Le facteur de gain sur ce serveur est:", "El factor de ganancia en este servidor es:", "O fator de ganho neste servidor é:", "Il fattore di vincita su questo server è:", "Współczynnik wygranej na tym serwerze wynosi:", "Фактор выигрыша на этом сервере составляет:", "Výherní faktor na tomto serveru je:", "A nyerési tényező ezen a szerveren:", "このサーバーの勝利要因は次のとおりです：", "此服务器上的赢得因素是：", "此服務器上的贏得因素是：",
"desc_black_jack","The normal blackjack rules apply.","The normal blackjack rules apply.","Die normalen Blackjack-Regeln gelten.","Les règles normales du blackjack s'appliquent.","Se aplican las reglas normales del blackjack.","As regras normais do blackjack se aplicam.","Si applicano le normali regole del blackjack.","Obowiązują zwykłe zasady blackjacka.","Обычные правила блэкджека.","Platí normální pravidla blackjacku.","A normál blackjack szabályok érvényesek.","通常のブラックジャックのルールが適用されます。","通常的二十一点规则适用。","通常的二十一点规則適用。",
"desc_lucky_wheel","Spin to win!", "Spin to win!", "Drehen und gewinnen!", "Tournez pour gagner!", "¡Gira para ganar!", "Gire para ganhar!", "Gira per vincere!", "Obróć, aby wygrać!", "Крутите, чтобы выиграть!", "Otočte a vyhrajte!", "Pörgetés és nyerés!", "スピンして勝つ！", "旋转以赢得！","旋轉以贏得！",
"hold_card","Hold Card","Hold Card","Karte halten","Tenir la carte","Mantener la tarjeta","Manter o cartão","Tenere la carta","Trzymaj kartę","Удерживать карту","Držte kartu","Tartsa a kártyát","カードを保持する","保持卡","保持卡",
"last_win","Last Win","Last Win","Letzter Gewinn","Dernier gain","Última victoria","Última vitória","Ultima vittoria","Ostatnia wygrana","Последний выигрыш","Poslední výhra","Utolsó győzelem","最後の勝利","上次赢","上次贏",
"lucky_wheel_head_line","Lucky Wheel","Lucky Wheel","Glücksrad","Roue de la fortune","Ruleta de la suerte","Roleta da sorte","Ruota della fortuna","Koło fortuny","Колесо удачи","Kolo štěstí","Szerencsekerék","幸運の車輪","幸运轮","幸運輪",
"lose_game","You lost, try again!","You lost, try again!","Du hast verloren, versuche es erneut!","Vous avez perdu, réessayez!","¡Perdiste, inténtalo de nuevo!","Você perdeu, tente novamente!","Hai perso, riprova!","Przegrałeś, spróbuj ponownie!","Вы проиграли, попробуйте еще раз!","Prohráli jste, zkuste to znovu!","Vesztettél, próbáld újra!","負けました、もう一度やり直してください！","你输了，再试一次！","你輸了，再試一次！",
"next_card","Next Card","Next Card","Nächste Karte","Carte suivante","Siguiente tarjeta","Próximo cartão","Prossima carta","Następna karta","Следующая карта","Další karta","Következő kártya","次のカード","下一张卡","下一張卡",
"new_game","New Game","New Game","Neues Spiel","Nouveau jeu","Nuevo juego","Novo jogo","Nuovo gioco","Nowa gra","Новая игра","Nová hra","Új játék","新しいゲーム","新游戏","新遊戲",
"Not_enough_chips_available","Not enough chips available","Not enough chips available","Nicht genügend Chips verfügbar","Pas assez de jetons disponibles","No hay suficientes fichas disponibles","Fichas insuficientes disponíveis","Fiches non sufficienti disponibili","Niewystarczająca liczba żetonów","Недостаточно фишек","Nedostatek dostupných žetonů","Nincs elég zseton","利用可能なチップが不足しています","筹码不足","籌碼不足",
"roll_dice","Roll Dice","Roll Dice","Würfeln","Lancer les dés","Tirar los dados","Rolar os dados","Lanciare i dadi","Rzuć kostką","Бросить кости","Házet kostkou","Dobd a kockát","サイコロを振る","掷骰子","擲骰子",
"select_number","Choose your number","Choose your number","Wähle deine Zahl","Choisissez votre numéro","Elige tu número","Escolha o seu número","Scegli il tuo numero","Wybierz swoją liczbę","Выберите свой номер","Vyberte své číslo","Válassza ki a számát","あなたの番号を選択してください","您的号码","選擇您的號碼",
"start_race","Start Race","Start Race","Starten","Démarrer","Comenzar","Começar","Inizio","Rozpocznij","Начать","Začít","Indítsa el a versenyt","スタート","开始比赛","開始比賽",
"roll_wheel","Spin","Spin","Drehen","Tourner","Girar","Girar","Gira","Obróć","Крутить","Otočit","Pörget","スピン","旋转","旋轉",
"jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Джекпот","Jackpot","Jackpot","ジャックポット","奖池","彩池",
"start_race", "Start Race", "Start Race", "Starte Rennen", "Départ course", "estreno", "lançamento", "scagliarsi","wypuszczenie", "запуск","Rajt", "開始","开始","開始",
"rate_race_desc", "Bet on a rat. If that rat wins you get the bet times the odds of the rate.","Bet on a rat. If that rat wins you get the bet times the odds of the rate.","Wette auf eine Ratte. Wenn diese Ratte gewinnt, erhalten Sie die Wette mal die Quote der Rate.","Misez sur un rat. Si ce rat gagne, vous obtenez la mise multipliée par les cotes de la rate.","Apuesta a una rata. Si esa rata gana, obtienes la apuesta multiplicada por las probabilidades de la tasa.","Aposte em um rato. Se esse rato ganhar, você recebe a aposta vezes as chances da taxa.","Scommetti su un ratto. Se quel ratto vince, ottieni la scommessa moltiplicata per le probabilità del tasso.","Postaw na szczura. Jeśli ta szczura wygra, otrzymasz zakład pomnożony przez kurs szczura.","Ставка на крысу. Если эта крыса выигрывает, вы получаете ставку умноженную на коэффициент ставки.","Sázka na krysu. Pokud tato krysa vyhraje, dostanete sázku krát kurz krysy.","Tét egy patkányra. Ha ez a patkány nyer, akkor a tétet szorozza a patkány esélye.","ラットにベットしてください。そのラットが勝つと、ベットがレートのオッズで掛けられます。","在老鼠上下注。如果那只老鼠赢了，您将获得下注乘以老鼠的赔率。","在老鼠上下注。如果那隻老鼠贏了，您將獲得下注乘以老鼠的賠率。",
