"Language","original","english","german","french","spanish","portuguese","italian","polish","russian","czech","hungarian","japanese","chinesesimp","chinese",
"bet_on_number","Bet on a number from 1 to 6","Bet on a number from 1 to 6","Wette auf eine Zahl von 1 bis 6","Parier sur un nombre de 1 à 6","Apuesta por un número del 1 al 6","Aposta num número de 1 a 6","Scommettere su un numero da 1 a 6","Postaw na liczbę od 1 do 6.","Ставка на число от 1 до 6.","Sázejte na číslo od 1 do 6","Fogadjon 1-től 6-ig","1から6までの数字でベットする","投注1到6之间的一个数字","投注1到6之間的一個數字","chips",
"Chips","Chips","Chips","Jetons","Fichas","Fichas","Chips","Chipsy","Чипсы","čipy","zsetonok","カジノチップ","赌场筹码","賭場籌碼",
"chips_use","Use","Use","Einsatz","Utilisation de copeaux","uso de chips","uso de chips","chip Utilizzare","chipy Używanie","Использовать микросхемы","Použití čipů","Chips használata","チップ使用","筹码使用","籌碼使用",
"bet_per_roll", "Bet per roll", "Bet per roll", "Einsatz pro Dreh","Utilisation par tour","Uso por turno","Uso por turno","Utilizzo per turno","Użycie na obrót","Использовать за оборот","Použijte na rotaci","Használjon forgatásonként","回転ごとに使用","每次使用","每次使用",
"close_game","close","close","genug gezockt","inférer","deducir","inferir","evincere","wnioskować","делать вывод","zavřít","közel","近いです","关闭","關閉",
"desc_bet_dice","If you win, you get five times your stake. If you read, there is nothing.","If you win, you get five times your stake. If you read, there is nothing.","Wenn du gewinnst, bekommst du das fünffache deines Einsatzes. Wenn du verliest, gibt es nichts.","Si vous gagnez, vous obtenez cinq fois votre mise. Si vous lisez, il n'y a rien.","Si ganas, tendrás cinco veces tu apuesta. Si lees, no hay nada.","Se ganhares, recebes cinco vezes a tua aposta. Se leres, não há nada.","Se vinci, ti becchi cinque volte la posta in palio. Se leggi, non c'è niente.","Jeśli wygrasz, dostaniesz pięć razy większą stawkę. Jeśli czytasz, to nic nie ma.","Если ты выиграешь, то получишь в пять раз больше своей ставки. Если ты читаешь, то ничего нет.","Pokud vyhrajete, získáte pětinásobek svého vkladu. Pokud čtete, není nic.","Ha nyersz, ötszörösére kapsz tétjét. Ha olvas, nincs semmi.","勝った場合、5倍のステークを獲得できます。 読めば、何もありません。","如果您赢了，您将获得五倍的赌注。 如果您阅读，那什么也没有。","如果您贏了，您將獲得五倍的賭注。 如果您閱讀，那什麼也沒有。",
"desc_black_jack","The normal blackjack rules apply.","The normal blackjack rules apply.","Es gelten die normalen Blackjack Regeln","Les règles normales du Blackjack s'appliquent.","Se aplican las reglas normales de Blackjack.","Aplicam-se as regras normais do Blackjack.","Si applicano le normali regole del Blackjack.","Obowiązują normalne zasady Blackjacka.","Применяются обычные правила игры в блэкджек.","Platí normální pravidla blackjacku","A szokásos blackjack-szabályok érvényesek","通常のブラックジャックルールが適用されます","正常二十一点规则适用","正常二十一點規則適用",
"desc_lucky_wheel","Turn the wheel and find your happiness. Possible winnings: 1x jackpot; 1x fivefold bet; 1x triple bet; 4x twice bet; 5x 1.5 times bet; 24 x nothing","Turn the wheel and find your happiness. Possible winnings: 1x jackpot; 1x fivefold bet; 1x triple bet; 4x twice bet; 5x 1.5 times bet; 24 x nothing","Dreh am Rad und finde dein Glück. Mögliche Gewinne: 1x Jackpot; 1x fünffacher Einsatz; 1x dreifacher Einsatz; 4x zweifacher Einsatz; 5x 1.5facher Einsatz; 24 x nichts","Tournez le volant et trouvez votre bonheur. Gains possibles : 1x jackpot ; 1x quintuple mise ; 1x triple mise ; 4x double mise ; 5x 1,5 fois mise ; 24 x rien","Gira la rueda y encuentra tu felicidad. Ganancias posibles: 1 vez el bote; 1 vez la apuesta de cinco veces; 1 vez la apuesta triple; 4 veces la apuesta de dos veces; 5 veces la apuesta de 1.5 veces; 24 veces nada","Vire a roda e encontre a sua felicidade. Possíveis ganhos: 1x jackpot; 1x aposta quíntupla; 1x aposta tripla; 4x aposta dupla; 5x 1.5 vezes aposta; 24 x nada","Gira la ruota e trova la tua felicità. Vincite possibili: 1x jackpot; 1x cinque volte la scommessa; 1x scommessa tripla; 4x due volte la scommessa; 5x 1,5 volte la scommessa; 24 x niente.","Obróć koło i znajdź swoje szczęście. Możliwe wygrane: 1x jackpot; 1x pięciokrotny zakład; 1x potrójny zakład; 4x podwójny zakład; 5x 1,5-krotny zakład; 24 x nic.","Поверни руль и найди свое счастье. Возможные выигрыши: 1 джекпот; 1 ставка в пять раз; 1 ставка в три раза; 4 ставки в три раза; 5 ставок в три раза; 5 ставок в полтора раза; 24 ставки в три раза.","Otočte volantem a najděte své štěstí. Možné výhry: 1x jackpot; 1x pětkrát; 1x trojnásobné použití; 4x dvojnásobné použití; 5x 1,5krát použití; 24 x nic","Forgassa el a kereket, és találja meg szerencséjét. Lehetséges nyeremények: 1x jackpot; Ötször használja; 1x háromszoros használat; 4x dupla használat; 5x 1,5-szeres használat; 24 x semmi","ホイールを回して、運を見つけます。 可能な賞金：1xジャックポット; 1x 5回使用; 1xトリプル使用; 4回の二重使用; 5x 1.5回使用; 24 x何もない","转动方向盘，找到自己的运气。 可能的奖金：1x头奖； 1次五次使用； 1x三重使用； 4x两次使用； 5x 1.5次使用； 24 x无","轉動方向盤，找到自己的運氣。 可能的獎金：1x頭獎； 1次五次使用； 1x三重使用； 4x兩次使用； 5x 1.5次使用； 24 x無",
"hint_can_open_game","In near of game. Press play button. Default is P","In near of game. Press play button. Default is P","In der Nähe eines Spiels. Drücke die spielen Taste. Standard ist P","Près d'un match. Appuyez sur la touche de lecture.","Cerca de un partido. Presione el botón de reproducción.","Perto de um jogo. Pressione o botão de reprodução.","Vicino a una partita. Premere il pulsante play.","W pobliżu gry. Naciśnij przycisk odtwarzania.","Рядом с игрой. Нажмите кнопку воспроизведения.","Blízko hry. Stiskněte tlačítko přehrávání.","Egy játék közelében. Nyomja meg a lejátszás gombot.","ゲームの近く。 再生ボタンを押します。","靠近游戏。 按下播放按钮。","靠近遊戲。 按下播放按鈕。",
"hold_card","hold card","hold card","halten","carte de retenue","tarjeta de memoria","cartão de retenção","tenere la carta","karta do trzymania","карта памяти","podržte kartu","hold kártya","ホールドカード","持卡","持卡",
